NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Jay-Jay Okocha,Icons,Icons,CAM,Gold,90,90,89,76,85,48,73,6654
Jean Michaël Seri,Galatasaray,Turkey Süper Lig,CM,Gold,78,68,53,59,67,78,83,6672
Jean-Kévin Augustin,AS Monaco,France Ligue 1,ST,Gold,76,51,28,44,56,76,79,6687
Jean-Paul Boëtius,1. FSV Mainz 05,Germany 1. Bundesliga,CAM,Gold,84,90,78,79,88,41,75,6692
Jean-Philippe Gbamin,Everton,England Premier League,CDM,Gold,79,93,70,70,86,23,63,6694
Jean-Philippe Mateta,1. FSV Mainz 05,Germany 1. Bundesliga,ST,Gold,78,64,31,44,60,79,71,6695
Jeff Hendrick,Burnley,England Premier League,RM,Gold,75,70,70,74,74,52,59,6703
Jefferson Farfán,Lokomotiv Moskva,Russia FUT League,RM,Gold,77,45,42,45,57,77,82,6709
Jefferson Lerma,Bournemouth,England Premier League,CDM,Gold,79,74,74,77,78,72,76,6712
Jeffrey Gouweleeuw,FC Augsburg,Germany 1. Bundesliga,CB,Gold,78,61,63,71,74,77,73,6717
Jeison Murillo,Sampdoria,Italy Serie A,CB,Gold,79,89,79,66,73,41,82,6723
Jemerson,AS Monaco,France Ligue 1,CB,Gold,75,80,60,71,77,70,77,6732
Jeremain Lens,Beşiktaş,Turkey Süper Lig,RM,Gold,77,77,57,71,73,76,75,6768
Jeremiah St. Juste,1. FSV Mainz 05,Germany 1. Bundesliga,CB,Gold,84,90,78,79,88,41,75,6770
Jermain Defoe,Rangers,Scotland Premiership,ST,Gold,81,61,70,82,78,77,78,6777
Jesé,Sporting CP,Portugal Liga NOS,LW,Gold,75,87,36,62,72,71,69,6788
Jesús Corona,FC Porto,Portugal Liga NOS,RM,Gold,84,93,78,78,86,36,73,6791
Jesús Dátolo,Banfield,Argentina Primera División ,CM,Gold,76,61,53,68,64,77,71,6793
Jesús Navas,Sevilla FC,Spain Primera Division,RM,Gold,85,80,75,86,83,50,66,6808
Jesse Lingard,Manchester United,England Premier League,CAM,Gold,82,74,37,66,65,81,79,6832
Jetro Willems,Newcastle United,England Premier League,LWB,Gold,75,32,32,57,59,78,70,6838
Jhon Córdoba,1. FC Köln,Germany 1. Bundesliga,ST,Gold,76,52,40,47,46,76,78,6842
Jhon Lucumi,RC Genk,Belgium Jupiler Pro League,CB,Gold,75,82,70,68,74,33,69,6848
Jimmy Briand,Girondins de Bordeaux,France Ligue 1,ST,Gold,76,67,73,76,78,42,63,6873
Jimmy Durmaz,Galatasaray,Turkey Süper Lig,CAM,Gold,75,71,71,71,71,61,73,6877
João Aurélio,Moreirense,Portugal Liga NOS,RB,Gold,75,63,70,72,73,72,79,6906
João Cancelo,Manchester City,England Premier League,RB,Gold,84,71,76,84,85,49,59,6907
João Félix,Atlético de Madrid,Spain Primera Division,CF,Gold,80,89,53,71,76,77,69,6909
João Mário,Lokomotiv Moskva,Russia FUT League,CAM,Gold,81,76,74,81,86,76,84,6912
João Moutinho,Wolverhampton Wanderers,England Premier League,CM,Gold,84,93,79,80,87,36,57,6915
João Novais,Braga,Portugal Liga NOS,CM,Gold,75,70,78,77,73,35,61,6917
João Pedro,Cagliari,Italy Serie A,ST,Gold,81,88,66,78,81,78,80,6919
Joël Veltman,Ajax,Holland Eredivisie,CB,Gold,79,74,61,75,75,77,73,6932
Joachim Andersen,Olympique Lyonnais,France Ligue 1,CB,Gold,78,90,41,68,76,73,79,6934
Joakim Mæhle,RC Genk,Belgium Jupiler Pro League,RB,Gold,77,75,73,75,76,55,67,6942
Joan Jordán,Sevilla FC,Spain Primera Division,CM,Gold,78,73,37,50,52,76,84,6946
Joaquín,Real Betis Balompié,Spain Primera Division,LM,Gold,80,74,60,81,76,78,72,6952
Joaquín Correa,Lazio,Italy Serie A,CF,Gold,80,69,66,72,72,80,80,6956
Joe Allen,Stoke City,England EFL Championship,CM,Gold,75,76,60,72,73,72,69,6967
Joe Gomez,Liverpool,England Premier League,CB,Gold,83,83,76,82,85,59,67,6976
Joe Lolley,Nottingham Forest,England EFL Championship,RM,Gold,75,65,44,51,51,75,79,6982
Joel Campbell,León,Mexico Liga MX,ST,Gold,76,48,28,50,51,77,74,7012
Joel Matip,Liverpool,England Premier League,CB,Gold,82,93,76,73,83,41,66,7022
Joelinton,Newcastle United,England Premier League,ST,Gold,78,86,74,72,82,34,67,7031
Johan Cruyff,Icons,Icons,CF,Gold,94,91,92,91,94,42,73,7048
Johan Mojica,Girona FC,Spain Segunda A,LWB,Gold,75,79,73,69,79,42,70,7058
John Barnes,Icons,Icons,LW,Gold,89,85,82,87,90,43,70,7074
John Brooks,VfL Wolfsburg,Germany 1. Bundesliga,CB,Gold,79,87,50,63,78,80,72,7081
John Guidetti,Deportivo Alavés,Spain Primera Division,ST,Gold,76,72,75,69,75,43,67,7088
John Lundstram,Sheffield United,England Premier League,CM,Gold,76,71,75,75,74,56,62,7093
John McGinn,Aston Villa,England Premier League,CAM,Gold,84,75,82,80,82,74,82,7098
John Stones,Manchester City,England Premier League,CB,Gold,83,90,79,76,83,36,70,7113
Johnathan,Tianjin Teda,China Super League,ST,Gold,84,89,83,80,88,40,75,7119
Jonas Hector,1. FC Köln,Germany 1. Bundesliga,LB,Gold,79,76,76,74,82,29,56,7154
Jonas Hofmann,Borussia M'gladbach,Germany 1. Bundesliga,CAM,Gold,78,76,46,66,67,78,77,7156
Jonas Martin,Stade Rennais,France Ligue 1,CM,Gold,77,73,74,78,78,66,69,7159
Jonas Svensson,AZ,Holland Eredivisie,RB,Gold,75,75,73,68,75,43,71,7165
Jonatan Maidana,Toluca,Mexico Liga MX,CB,Gold,76,47,62,73,71,76,80,7172
Jonatan Soriano,Girona FC,Spain Segunda A,ST,Gold,75,78,48,65,69,75,76,7173
Jonathan Bamba,LOSC Lille,France Ligue 1,LM,Gold,78,76,50,66,76,76,74,7180
Jonathan De Guzmán,Eintracht Frankfurt,Germany 1. Bundesliga,CM,Gold,76,40,37,57,55,77,73,7195
Jonathan dos Santos,Los Angeles Galaxy,USA Major League Soccer,CM,Gold,78,70,75,76,82,41,62,7197
Jonathan Hogg,Huddersfield Town,England EFL Championship,CDM,Gold,75,78,74,60,73,29,60,7204
Jonathan Ikoné,LOSC Lille,France Ligue 1,CAM,Gold,78,57,64,72,69,76,77,7206
Jonathan Rodríguez,Cruz Azul,Mexico Liga MX,ST,Gold,75,74,75,72,77,48,70,7228
Jonathan Schmid,SC Freiburg,Germany 1. Bundesliga,RB,Gold,75,72,61,69,74,70,81,7233
Jonathan Tah,Bayer 04 Leverkusen,Germany 1. Bundesliga,CB,Gold,83,75,76,82,84,57,57,7237
Jonathas,Hannover 96,Germany 2. Bundesliga,ST,Gold,75,65,35,50,59,76,75,7244
Jonjo Shelvey,Newcastle United,England Premier League,CM,Gold,77,79,79,60,71,36,77,7249
Jonny,Wolverhampton Wanderers,England Premier League,LWB,Gold,79,54,57,65,66,81,80,7251
Jonny Evans,Leicester City,England Premier League,CB,Gold,79,49,53,60,57,79,84,7252
Jony,Lazio,Italy Serie A,LM,Gold,80,59,59,67,66,83,79,7257
Jordan Ayew,Crystal Palace,England Premier League,ST,Gold,75,78,76,72,79,44,59,7268
Jordan Henderson,Liverpool,England Premier League,CDM,Gold,83,79,70,81,83,77,73,7287
Jordan Lukaku,Lazio,Italy Serie A,LM,Gold,77,75,75,63,74,51,78,7295
Jordan Morris,Seattle Sounders,USA Major League Soccer,LM,Gold,78,60,37,56,55,76,83,7300
Jordan Veretout,Roma,Italy Serie A,CM,Gold,78,71,77,71,80,44,68,7323
Jordi Alba,FC Barcelona,Spain Primera Division,LB,Gold,88,52,59,78,75,90,77,7328
Jordy Clasie,AZ,Holland Eredivisie,CM,Gold,76,64,70,78,78,33,60,7341
Jorge Hernández,Pachuca,Mexico Liga MX,CDM,Gold,75,67,66,71,73,74,75,7358
Jorge Meré,1. FC Köln,Germany 1. Bundesliga,CB,Gold,77,59,66,76,75,71,68,7359
Jorge Molina,Getafe CF,Spain Primera Division,ST,Gold,80,66,48,69,74,79,85,7362
Jorge Valdivia,CD Viñazur,Chile Campeonato Nacional Scotiabank,CAM,Gold,75,88,67,67,80,37,55,7376
Jorginho,Chelsea,England Premier League,CDM,Gold,85,79,64,84,88,76,76,7379
Joris Gnagnon,Sevilla FC,Spain Primera Division,CB,Gold,75,45,44,59,51,73,76,7383
Jorrit Hendrix,PSV,Holland Eredivisie,CDM,Gold,76,61,71,76,78,50,50,7390
José Callejón,Napoli,Italy Serie A,RM,Gold,84,85,72,84,81,80,76,7401
José Fonte,LOSC Lille,France Ligue 1,CB,Gold,81,71,78,77,79,71,79,7409
José Izquierdo,Brighton & Hove Albion,England Premier League,LW,Gold,76,58,75,49,69,27,70,7418
José Juan Vázquez,Santos Laguna,Mexico Liga MX,CDM,Gold,75,83,55,71,76,69,73,7421
José Luis Palomino,Atalanta,Italy Serie A,CB,Gold,77,78,71,74,79,72,71,7429
José María Giménez,Atlético de Madrid,Spain Primera Division,CB,Gold,85,85,62,77,79,80,75,7435
José Pedro Fuenzalida,Universidad Católica,Chile Campeonato Nacional Scotiabank,RW,Gold,75,65,69,77,74,47,51,7441
José Sand,Lanús,Argentina Primera División ,ST,Gold,76,81,67,73,81,40,61,7447
José Sosa,Trabzonspor,Turkey Süper Lig,CM,Gold,78,66,81,62,74,33,69,7449
Jose Holebas,Watford,England Premier League,LB,Gold,78,53,34,55,61,78,75,7453
Josef Martínez,Atlanta United FC,USA Major League Soccer,ST,Gold,86,75,86,85,82,70,76,7457
Joshua Brenet,TSG 1899 Hoffenheim,Germany 1. Bundesliga,LWB,Gold,75,79,69,69,78,31,62,7523
Joshua Kimmich,Bayern München,Germany 1. Bundesliga,RB,Gold,86,41,80,88,79,70,69,7531
Joshua King,Bournemouth,England Premier League,CF,Gold,79,69,47,72,70,81,74,7533
Josip Brekalo,VfL Wolfsburg,Germany 1. Bundesliga,LW,Gold,76,55,69,76,71,71,73,7540
Josip Drmić,Norwich City,England Premier League,ST,Gold,75,81,73,64,75,25,60,7541
Josip Iličić,Atalanta,Italy Serie A,ST,Gold,86,62,81,86,81,74,70,7543
Josuha Guilavogui,VfL Wolfsburg,Germany 1. Bundesliga,CDM,Gold,80,92,51,70,77,76,66,7558
Jovane Cabral,Sporting CP,Portugal Liga NOS,LW,Gold,75,80,70,62,72,41,81,7563
Jozy Altidore,Toronto FC,USA Major League Soccer,ST,Gold,76,45,39,63,63,77,77,7568
Juan Camilo Hernández,Watford,England Premier League,ST,Gold,75,54,75,54,71,39,75,7580
Juan Cuadrado,Piemonte Calcio,Italy Serie A,RM,Gold,83,92,79,76,87,42,66,7592
Juan Fernando Quintero,Núñez,Argentina Primera División ,CAM,Gold,80,70,55,61,65,78,82,7603
Juan Jesus,Roma,Italy Serie A,CB,Gold,81,93,66,71,79,75,81,7618
Juan Mata,Manchester United,England Premier League,CAM,Gold,87,42,82,90,80,71,70,7631
Juan Sebastián Verón,Icons,Icons,CM,Gold,90,78,65,88,81,88,83,7651
Juanmi,Real Betis Balompié,Spain Primera Division,LW,Gold,77,84,71,71,81,27,52,7665
Jules Koundé,Sevilla FC,Spain Primera Division,CB,Gold,76,74,64,74,79,55,55,7672
Julian Baumgartlinger,Bayer 04 Leverkusen,Germany 1. Bundesliga,CDM,Gold,78,82,53,61,64,78,81,7688
Julian Brandt,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold,84,67,78,82,83,79,76,7690
Julian Draxler,Paris Saint-Germain,France Ligue 1,CAM,Gold,86,90,76,83,88,52,55,7695
Julian Weigl,Borussia Dortmund,Germany 1. Bundesliga,CDM,Gold,80,70,58,77,83,71,66,7717
Julio Buffarini,Buenos Aires,Argentina Primera División ,RB,Gold,75,80,60,66,71,72,78,7729
Julio Furch,Santos Laguna,Mexico Liga MX,ST,Gold,75,67,76,66,76,36,77,7733
Junior Firpo,FC Barcelona,Spain Primera Division,LB,Gold,79,74,44,65,68,78,76,7758
Junior Stanislas,Bournemouth,England Premier League,LM,Gold,75,64,61,70,74,72,71,7766
Junya Ito,RC Genk,Belgium Jupiler Pro League,RW,Gold,75,59,32,51,56,75,74,7768
Juraj Kucka,Parma,Italy Serie A,CM,Gold,77,76,58,70,86,37,56,7773
Justin Kluivert,Roma,Italy Serie A,LW,Gold,75,39,34,49,55,77,77,7783
Kévin Gameiro,Valencia CF,Spain Primera Division,ST,Gold,86,68,77,86,86,74,73,7802
Kévin Malcuit,Napoli,Italy Serie A,RB,Gold,78,75,73,77,81,53,67,7807
Kévin Théophile-Cathe...,Dinamo Zagreb,Croatia PRva HNL,CB,Gold,76,83,72,70,79,30,55,7814
Kaan Ayhan,Fortuna Düsseldorf,Germany 1. Bundesliga,CB,Gold,77,76,77,62,76,30,77,7818
Kai Havertz,Bayer 04 Leverkusen,Germany 1. Bundesliga,CAM,Gold,86,95,81,79,86,38,70,7830
Kaká,Icons,Icons,CAM,Gold,91,90,92,77,82,47,90,7842
Kaku,New York Red Bulls,USA Major League Soccer,CAM,Gold,75,74,66,71,81,38,66,7847
Kalidou Koulibaly,Napoli,Italy Serie A,CB,Gold,89,70,91,79,81,47,83,7850
Kalvin Phillips,Leeds United,England EFL Championship,CDM,Gold,75,78,74,69,76,35,75,7855
Kamil Glik,AS Monaco,France Ligue 1,CB,Gold,80,70,61,75,74,75,78,7862
Kangin Lee,Valencia CF,Spain Primera Division,CAM,Gold,76,65,29,61,59,76,79,7880
Karim Bellarabi,Bayer 04 Leverkusen,Germany 1. Bundesliga,RM,Gold,84,72,78,76,80,83,84,7888
Karim Benzema,Real Madrid,Spain Primera Division,ST,Gold,88,74,81,86,85,66,86,7892
Karim El Ahmadi,Al Ittihad,Saudi Dawry Jameel League,CDM,Gold,76,32,44,56,61,74,82,7896
Karim Onisiwo,1. FSV Mainz 05,Germany 1. Bundesliga,ST,Gold,75,75,68,67,74,71,78,7899
Karim Rekik,Hertha BSC,Germany 1. Bundesliga,CB,Gold,78,81,76,63,76,41,67,7900
Karl Toko-Ekambi,Villarreal CF,Spain Primera Division,ST,Gold,86,94,83,83,88,39,60,7906
Karol Linetty,Sampdoria,Italy Serie A,CM,Gold,76,41,67,76,73,72,70,7916
Kasper Dolberg,OGC Nice,France Ligue 1,ST,Gold,76,70,68,77,77,61,55,7923
Keita Baldé,AS Monaco,France Ligue 1,RM,Gold,80,77,79,69,78,53,72,7981
Kelvin Amian,Toulouse FC,France Ligue 1,RB,Gold,75,62,33,46,59,73,78,7999
Kenedy,Getafe CF,Spain Primera Division,LM,Gold,75,87,62,68,78,42,51,8020
Kenneth Omeruo,CD Leganés,Spain Primera Division,CB,Gold,75,61,76,57,69,32,70,8025
Kenny Dalglish,Icons,Icons,ST,Gold,92,92,93,81,90,44,75,8030
Kenny Lala,RC Strasbourg,France Ligue 1,RWB,Gold,79,76,79,58,78,33,72,8034
Kenny Tete,Olympique Lyonnais,France Ligue 1,RB,Gold,77,63,68,77,75,70,80,8038
Kerem Demirbay,Bayer 04 Leverkusen,Germany 1. Bundesliga,CM,Gold,82,77,72,83,80,75,72,8052
Kevin Akpoguma,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,75,88,67,64,79,36,64,8064
Kevin De Bruyne,Manchester City,England Premier League,CM,Gold,92,77,88,93,88,62,80,8073
Kevin Kampl,RB Leipzig,Germany 1. Bundesliga,CM,Gold,83,43,60,67,62,82,81,8087
Kevin Lasagna,Udinese,Italy Serie A,ST,Gold,77,56,60,71,71,75,76,8093
Kevin Möhwald,Werder Bremen,Germany 1. Bundesliga,CM,Gold,75,85,70,68,75,57,73,8097
Kevin Mbabu,VfL Wolfsburg,Germany 1. Bundesliga,RB,Gold,81,88,66,78,81,78,80,8100
Kevin Mirallas,Antwerp,Belgium Jupiler Pro League,LM,Gold,78,53,31,51,59,81,74,8106
Kevin Stöger,Fortuna Düsseldorf,Germany 1. Bundesliga,CAM,Gold,77,74,75,75,77,50,63,8120
Kevin Strootman,Olympique de Marseille,France Ligue 1,CM,Gold,80,73,70,75,78,73,78,8122
Kevin Vogt,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,80,70,66,75,78,78,77,8129
Kevin Volland,Bayer 04 Leverkusen,Germany 1. Bundesliga,ST,Gold,82,80,62,78,79,80,79,8130
Kevin-Prince Boateng,Fiorentina,Italy Serie A,CF,Gold,79,74,78,76,79,61,67,8136
Khama Billiat,Kaizer Chiefs,South Africa Premier SL,RW,Gold,75,81,68,70,77,33,58,8151
Ki Sung Yueng,Newcastle United,England Premier League,CM,Gold,76,86,63,72,80,70,70,8154
Kieran Gibbs,West Bromwich Albion,England EFL Championship,LB,Gold,75,71,63,73,73,76,76,8160
Kieran Tierney,Arsenal,England Premier League,LB,Gold,76,63,64,77,75,67,69,8164
Kieran Trippier,Atlético de Madrid,Spain Primera Division,RB,Gold,85,80,71,82,80,83,78,8165
Kike García,SD Eibar,Spain Primera Division,ST,Gold,79,53,45,55,49,80,79,8177
Kiko Femenía,Watford,England Premier League,RB,Gold,76,79,65,72,74,72,77,8180
Kiko Olivas,Real Valladolid,Spain Primera Division,CB,Gold,76,87,70,67,81,46,66,8181
Kim Shin Wook,Shanghai Greenland Shenhua,China Super League,ST,Gold,78,62,53,66,65,79,83,8229
Kingsley Coman,Bayern München,Germany 1. Bundesliga,LM,Gold,86,92,67,78,79,83,83,8249
Klaas-Jan Huntelaar,Ajax,Holland Eredivisie,ST,Gold,77,72,70,76,79,57,51,8258
Kodjo Fo-Doh Laba,Al Ain FC,Rest of World,ST,Gold,79,85,78,66,73,32,74,8270
Koffi Djidji,Torino,Italy Serie A,CB,Gold,75,76,60,74,76,68,69,8274
Koke,Atlético de Madrid,Spain Primera Division,RM,Gold,85,83,65,77,80,82,82,8281
Konrad Laimer,RB Leipzig,Germany 1. Bundesliga,CM,Gold,77,81,71,73,76,44,70,8292
Konstantinos Fortounis,Olympiacos CFP,Greece A'Ethniki,CAM,Gold,78,67,66,78,82,63,52,8299
Konstantinos Laifis,Standard Liège,Belgium Jupiler Pro League,LB,Gold,75,78,61,67,72,71,80,8302
Konstantinos Mitroglou,Galatasaray,Turkey Süper Lig,ST,Gold,75,69,72,78,76,43,63,8304
Konstantinos Stafylidis,TSG 1899 Hoffenheim,Germany 1. Bundesliga,LWB,Gold,75,84,76,58,72,29,67,8305
Kostas Manolas,Napoli,Italy Serie A,CB,Gold,85,67,68,77,78,82,80,8320
Krépin Diatta,Club Brugge,Belgium Jupiler Pro League,LW,Gold,75,79,63,70,73,70,78,8337
Krzysztof Piątek,Milan,Italy Serie A,ST,Gold,80,89,64,73,79,75,81,8369
Kunde Malong,1. FSV Mainz 05,Germany 1. Bundesliga,CDM,Gold,75,68,60,71,78,60,75,8373
Kurt Zouma,Chelsea,England Premier League,CB,Gold,80,82,73,78,83,66,73,8375
Kwadwo Asamoah,Inter,Italy Serie A,LB,Gold,79,89,74,74,82,49,70,8379
Kwon Chang Hoon,SC Freiburg,Germany 1. Bundesliga,RM,Gold,75,71,43,63,68,75,75,8387
Kyle Walker,Manchester City,England Premier League,RB,Gold,86,73,78,88,86,51,61,8407
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold,90,97,86,80,91,40,76,8415
Kyriakos Papadopoulos,Hamburger SV,Germany 2. Bundesliga,CB,Gold,76,40,56,69,66,73,74,8423
Léandre Tawamba,Al Taawoun,Saudi Dawry Jameel League,ST,Gold,75,81,65,73,77,63,67,8426
Léo Dubois,Olympique Lyonnais,France Ligue 1,RB,Gold,79,55,81,53,71,30,86,8429
Léo Matos,PAOK FC,Greece A'Ethniki,RB,Gold,76,71,73,70,80,36,64,8434
Lago Júnior,RCD Mallorca,Spain Primera Division,LM,Gold,75,77,65,72,74,72,72,8447
Laguardia,Deportivo Alavés,Spain Primera Division,CB,Gold,79,73,77,76,79,64,74,8449
Lamine Koné,RC Strasbourg,France Ligue 1,CB,Gold,75,88,73,66,74,31,58,8456
Landry Dimata,Anderlecht,Belgium Jupiler Pro League,ST,Gold,75,79,68,72,74,52,70,8460
Lars Bender,Bayer 04 Leverkusen,Germany 1. Bundesliga,RB,Gold,80,64,34,46,63,83,74,8468
Lars Stindl,Borussia M'gladbach,Germany 1. Bundesliga,CF,Gold,80,88,80,70,78,39,81,8477
Lasse Schøne,Genoa,Italy Serie A,CM,Gold,77,76,46,66,67,78,77,8492
Laurent Blanc,Icons,Icons,CB,Gold,91,93,93,88,90,42,74,8507
Laurent Koscielny,Girondins de Bordeaux,France Ligue 1,CB,Gold,84,84,78,79,84,44,65,8513
Lautaro Acosta,Lanús,Argentina Primera División ,LW,Gold,76,78,74,73,77,71,75,8517
Lautaro Martínez,Inter,Italy Serie A,ST,Gold,84,77,73,78,85,76,78,8520
Layvin Kurzawa,Paris Saint-Germain,France Ligue 1,LB,Gold,77,65,76,59,75,31,68,8527
Leander Dendoncker,Wolverhampton Wanderers,England Premier League,CM,Gold,78,83,65,73,77,73,73,8538
Leandro Cabrera,Getafe CF,Spain Primera Division,CB,Gold,79,79,78,67,78,27,68,8544
Leandro Fernández,Vélez Sarsfield,Argentina Primera División ,ST,Gold,75,76,73,59,68,41,79,8549
Leandro González Pirez,Atlanta United FC,USA Major League Soccer,CB,Gold,75,84,67,72,78,30,39,8550
Leandro Paredes,Paris Saint-Germain,France Ligue 1,CM,Gold,80,48,76,81,77,65,73,8554
Leandro Trossard,Brighton & Hove Albion,England Premier League,LW,Gold,85,86,85,79,87,41,63,8558
Leighton Baines,Everton,England Premier League,LB,Gold,75,78,65,72,72,68,72,8630
Leo Baptistao,Wuhan Zall,China Super League,ST,Gold,79,60,39,74,75,74,78,8642
Leon Bailey,Bayer 04 Leverkusen,Germany 1. Bundesliga,LW,Gold,82,83,84,70,78,41,76,8648
Leon Goretzka,Bayern München,Germany 1. Bundesliga,CM,Gold,86,89,77,79,91,39,63,8655
Leonardo,Tianjin Quanjian,China Super League,LM,Gold,75,58,78,73,77,32,66,8665
Leonardo Bittencourt,Werder Bremen,Germany 1. Bundesliga,CAM,Gold,77,74,68,73,71,78,80,8668
Leonardo Bonucci,Piemonte Calcio,Italy Serie A,CB,Gold,86,77,84,74,73,36,85,8669
Leonardo Pavoletti,Cagliari,Italy Serie A,ST,Gold,78,63,36,50,62,80,79,8685
Leonardo Ponzio,Núñez,Argentina Primera División ,CDM,Gold,76,69,65,61,69,76,85,8687
Leonardo Sigali,Racing Club de Avellaneda,Argentina Primera División ,CB,Gold,79,76,76,76,79,41,75,8692
Leonardo Spinazzola,Roma,Italy Serie A,LM,Gold,79,58,45,66,64,79,78,8693
Leonel Miranda,Club Tijuana,Mexico Liga MX,CM,Gold,77,89,74,71,79,36,71,8701
Leonel Vangioni,Monterrey,Mexico Liga MX,LB,Gold,75,73,74,74,78,36,57,8704
Leroy Sané,Manchester City,England Premier League,LW,Gold,86,81,75,80,79,86,89,8708
Lewis Cook,Bournemouth,England Premier League,CM,Gold,77,82,65,75,82,54,59,8722
Lewis Dunk,Brighton & Hove Albion,England Premier League,CB,Gold,82,73,72,77,77,79,84,8723
Libor Kozák,Sparta Praha,Czech Republic HET Liga,ST,Gold,79,70,58,78,81,70,74,8792
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,95,89,93,93,97,40,68,8816
Lior Refaelov,Antwerp,Belgium Jupiler Pro League,CAM,Gold,75,49,56,70,72,79,70,8819
Lisandro López,Racing Club de Avellaneda,Argentina Primera División ,ST,Gold,81,73,68,77,87,77,80,8823
Lisandro Magallán,Deportivo Alavés,Spain Primera Division,CB,Gold,75,82,60,70,76,70,70,8825
Lisandro Martínez,Ajax,Holland Eredivisie,CB,Gold,77,75,55,70,74,77,76,8826
Ljubomir Fejsa,SL Benfica,Portugal Liga NOS,CDM,Gold,78,78,75,60,76,43,81,8844
Loïc Perrin,AS Saint-Étienne,France Ligue 1,CB,Gold,80,87,78,67,77,39,75,8855
Loïc Rémy,LOSC Lille,France Ligue 1,ST,Gold,77,80,72,74,82,48,71,8857
Loren,Real Betis Balompié,Spain Primera Division,ST,Gold,80,62,49,65,64,80,81,8867
Lorenzo De Silvestri,Torino,Italy Serie A,RM,Gold,75,87,72,64,75,27,71,8872
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold,89,84,84,85,91,45,65,8881
Lorenzo Pellegrini,Roma,Italy Serie A,CAM,Gold,82,78,76,83,87,33,53,8887
Lorenzo Tonelli,Napoli,Italy Serie A,CB,Gold,77,86,68,71,77,71,78,8892
Lothar Matthäus,Icons,Icons,CM,Gold,93,89,89,90,82,90,85,8900
Louis Schaub,1. FC Köln,Germany 1. Bundesliga,CAM,Gold,75,70,72,59,74,29,62,8913
Luís Figo,Icons,Icons,RW,Gold,92,92,88,89,92,41,80,8926
Luís Hernández,Málaga CF,Spain Segunda A,CB,Gold,75,77,54,73,75,72,72,8929
Luís Neto,Sporting CP,Portugal Liga NOS,CB,Gold,77,60,76,71,75,37,69,8933
Luca Rigoni,Parma,Italy Serie A,CM,Gold,75,84,71,61,75,40,70,8973
Luca Waldschmidt,SC Freiburg,Germany 1. Bundesliga,CF,Gold,76,59,36,60,60,74,79,8985
Luca Zuffi,FC Basel,Switzerland Super League,CAM,Gold,75,79,65,71,77,52,70,8988
Lucas Alario,Bayer 04 Leverkusen,Germany 1. Bundesliga,ST,Gold,79,82,75,60,75,48,80,8994
Lucas Andersen,Aalborg BK,Denmark Superliga,CAM,Gold,75,64,69,74,77,58,67,8997
Lucas Biglia,Milan,Italy Serie A,CDM,Gold,82,71,49,69,65,83,81,9000
Lucas Castro,Cagliari,Italy Serie A,CM,Gold,77,74,64,74,79,55,55,9003
Lucas Digne,Everton,England Premier League,LB,Gold,85,69,45,52,56,86,82,9008
Lucas Hernández,Bayern München,Germany 1. Bundesliga,CB,Gold,84,71,77,83,79,84,81,9017
Lucas Leiva,Lazio,Italy Serie A,CDM,Gold,84,87,80,81,83,32,78,9023
Lucas Lima,Al Ahli,Saudi Dawry Jameel League,LB,Gold,75,63,31,57,60,75,72,9025
Lucas Martínez Quarta,Núñez,Argentina Primera División ,CB,Gold,75,56,38,52,59,75,79,9028
Lucas Menossi,San Lorenzo de Almagro,Argentina Primera División ,CDM,Gold,75,84,76,59,73,36,62,9030
Lucas Moura,Tottenham Hotspur,England Premier League,CF,Gold,83,90,80,75,86,39,64,9032
Lucas Ocampos,Sevilla FC,Spain Primera Division,LM,Gold,77,62,72,79,73,62,74,9034
Lucas Olaza,RC Celta de Vigo,Spain Primera Division,LB,Gold,75,80,69,74,76,37,49,9035
Lucas Pérez,Deportivo Alavés,Spain Primera Division,ST,Gold,77,58,52,48,60,79,77,9037
Lucas Paquetá,Milan,Italy Serie A,CAM,Gold,79,82,64,75,76,71,76,9038
Lucas Pratto,Núñez,Argentina Primera División ,ST,Gold,80,76,42,58,63,79,80,9042
Lucas Torreira,Arsenal,England Premier League,CDM,Gold,84,82,84,65,79,38,77,9053
Lucas Tousart,Olympique Lyonnais,France Ligue 1,CDM,Gold,78,50,60,57,54,78,79,9055
Lucas Vázquez,Real Madrid,Spain Primera Division,RW,Gold,85,78,78,87,85,45,65,9057
Luciano Acosta,D.C. United,USA Major League Soccer,CAM,Gold,84,88,78,78,89,40,70,9072
Luciano Aued,Universidad Católica,Chile Campeonato Nacional Scotiabank,CM,Gold,75,81,69,69,79,34,75,9074
Ludovic Ajorque,RC Strasbourg,France Ligue 1,ST,Gold,75,73,74,76,76,65,69,9083
Ludovic Blas,FC Nantes,France Ligue 1,CM,Gold,76,68,64,69,74,76,83,9085
Ludwig Augustinsson,Werder Bremen,Germany 1. Bundesliga,LB,Gold,76,82,56,69,74,73,68,9089
